Fragment Size,Count,Range,Group,BAM File
11800859,6,>1000,Normal,H7-plasma.bam
6867,6,>1000,Normal,H7-plasma.bam
11800907,6,>1000,Normal,H7-plasma.bam
11800860,6,>1000,Normal,H7-plasma.bam
8515,6,>1000,Normal,H7-plasma.bam
506475,6,>1000,Normal,H7-plasma.bam
324149,6,>1000,Normal,H7-plasma.bam
11800915,6,>1000,Normal,H7-plasma.bam
325,6,200-500,Normal,H7-plasma.bam
491,6,200-500,Normal,H7-plasma.bam
443,6,200-500,Normal,H7-plasma.bam
490488,6,>1000,Normal,H7-plasma.bam
500,6,200-500,Normal,H7-plasma.bam
32,6,100-200,Normal,H7-plasma.bam
307,5,200-500,Normal,H7-plasma.bam
19,5,100-200,Normal,H7-plasma.bam
972,5,500-1000,Normal,H7-plasma.bam
56945,5,>1000,Normal,H7-plasma.bam
332,5,200-500,Normal,H7-plasma.bam
326,5,200-500,Normal,H7-plasma.bam
404004,5,>1000,Normal,H7-plasma.bam
360,5,200-500,Normal,H7-plasma.bam
455,5,200-500,Normal,H7-plasma.bam
2036,5,>1000,Normal,H7-plasma.bam
672,5,500-1000,Normal,H7-plasma.bam
722,5,500-1000,Normal,H7-plasma.bam
1036,5,>1000,Normal,H7-plasma.bam
461,5,200-500,Normal,H7-plasma.bam
113241,5,>1000,Normal,H7-plasma.bam
113245,5,>1000,Normal,H7-plasma.bam
3092775,5,>1000,Normal,H7-plasma.bam
1174,5,>1000,Normal,H7-plasma.bam
2306640,5,>1000,Normal,H7-plasma.bam
1192,5,>1000,Normal,H7-plasma.bam
300,5,200-500,Normal,H7-plasma.bam
505,5,500-1000,Normal,H7-plasma.bam
57032,5,>1000,Normal,H7-plasma.bam
259,5,200-500,Normal,H7-plasma.bam
266,5,200-500,Normal,H7-plasma.bam
18,5,100-200,Normal,H7-plasma.bam
329,5,200-500,Normal,H7-plasma.bam
81946,5,>1000,Normal,H7-plasma.bam
340,5,200-500,Normal,H7-plasma.bam
321508,5,>1000,Normal,H7-plasma.bam
435,5,200-500,Normal,H7-plasma.bam
27,5,100-200,Normal,H7-plasma.bam
209419,5,>1000,Normal,H7-plasma.bam
113253,5,>1000,Normal,H7-plasma.bam
863,5,500-1000,Normal,H7-plasma.bam
511,5,500-1000,Normal,H7-plasma.bam
11800891,5,>1000,Normal,H7-plasma.bam
